,Delegate,address,rank,productivity,vote,totalForged,Payout,Payout_Mean,Payout_Median,Payout_Std,Payout_Count,balance_paid,Payout_Percent
45,lordshare,17570631340802264834S,40,98.95,3015782.00712848,1929.38,684.39580886,2383959606.9558077,0.3989782092946207,23720098386.186672,164.0,2771436.026787079,0.3666520260842579
15,drake_pool,14230853487500748846S,85,100.0,2297462.33869362,1938.54,535.8825155599998,2252935620.520802,0.2796106398002474,19116792585.10843,260.0,2169278.68889151,0.2640101610766314
78,shiftpool,8342756260646928951S,29,98.87,3252938.80230341,1921.64,1806.9561645600006,1955324339.8466647,0.6786336743878336,25268351957.789566,1420.0,3150434.325381201,0.657249014533285
64,redpool,8909782982051000850S,7,99.96,3471850.71371058,1947.31,763.0915827200002,1602029504.1337621,0.40315619181621876,19023045493.128666,516.0,3305851.37942379,0.38388011545993894
88,swimming_pool,17895615853697666583S,42,99.24,2937415.76449879,1949.62,764.9303477800003,1563619885.8645744,0.4420307034567147,18301701113.598515,465.0,2857112.4759576605,0.42994643552545037
13,djandre,14201120872392502702S,4,98.61,3630938.59503047,2001.98,1929.7036701500017,1509687094.7706466,0.24436482852329838,16675038520.949173,415.0,3359711.419403998,0.2261110408240148
77,shiftcow,14889278221670389848S,11,99.83,3464795.13940531,1934.55,1907.259738620002,1399358274.9867892,0.4221957583044277,17755864942.074768,567.0,3370063.804566569,0.4106524588774095
61,peanhoy,3388036311665030157S,27,99.9,3281354.40935699,1944.58,1431.1120927800002,1349762867.1597707,0.27099226876906274,15090806824.005554,422.0,3138097.7963463604,0.25916135088185727
36,jamiec79,1386416021281059786S,90,99.61,2253493.29947058,1995.58,1998.4434718500008,1304792096.661805,0.4495050504096812,16139383843.617136,900.0,2244908.205142449,0.4477925788174004
47,mg_pool,6629046512399343440S,41,99.95,2980713.20058782,1949.04,757.9182263800002,1288426606.8757818,0.4245913993515389,17044281063.603777,790.0,2939402.391764668,0.41870682980519447
38,kanieloutis,18205181629852898627S,35,99.68,3203985.43854041,1942.12,2369.8256396899997,1243381413.0420156,0.5132431804124513,16588776614.478325,811.0,3187488.2182504185,0.5106005074128334
24,ghostfaceuk,16652174963610971575S,48,99.85,2881985.52992564,1948.76,1947.9785434700007,1242288390.42506,0.415156371869732,16574193143.544086,945.0,2856895.862919988,0.4115421500017426
21,forrest,17615391845481727298S,13,98.6,3440525.20238276,1939.33,363.0914158600001,1011604401.5101287,0.20582870701399553,11489616846.951017,462.0,3269004.5292524197,0.19556751830009272
29,gregoro,9936082237517901919S,38,98.99,3070007.81455256,1926.53,7001.099684039999,970879774.9307579,0.33215386393669766,12242327063.758442,786.0,2998148.9065416595,0.32437922120095236
82,shozay_pool,15999348859093551866S,15,99.45,3428820.06581922,1917.33,783.2994228400005,871971463.2872374,0.431846196855494,10960510520.72017,553.0,3318044.7993114092,0.41789449433720444
34,hongkie,12382181999476449415S,18,99.79,3336945.81753839,1936.98,596.2353777099996,867074420.1497074,0.3370782696360058,12076926345.632065,530.0,3302534.34391473,0.3336022287834021
59,oakey22,16931220871332044490S,39,97.91,3061025.99611643,1942.91,601.7947306900002,850106253.52574,0.17752266441154002,9234517534.36655,272.0,2913068.68199564,0.16894195433092601
99,worldcoinpool,8642612272713533685S,17,99.93,3345315.14831078,1945.08,2274.0799695100004,820613341.0101187,0.1243562814018542,10150425987.493902,574.0,3271906.325871719,0.1216274359042274
93,trnp,17544330370515019029S,8,99.93,3471600.48306636,1938.51,2868.05515598,751307686.2591698,0.20640952869790186,8399874857.883645,365.0,3267016.685211329,0.19424567358252723
89,swminer90,15506378572793905572S,30,98.11,3251406.41665751,1943.85,577.6061193700003,607342489.4863197,0.2879535409164016,9130358704.17164,993.0,3239575.2989594694,0.28690574442541356
6,bitmyst,358269971416095878S,31,98.29,3220358.79184322,1999.47,344.10531288,590053067.5420284,0.1659073861820593,7982089549.5544615,662.0,3164657.6440164694,0.16303775815592642
0,ampsicora,13933522232989679612S,20,95.82,3317254.53566866,1949.44,1859.7029396799994,505720786.4865028,0.10364136348800333,5031857270.821506,357.0,2951843.996322591,0.09222480014518482
87,stefanoproxy_pool,12573285556006580003S,9,99.82,3467674.53940113,1948.1,1103.3307314399995,454234277.0037487,0.19162404038647213,6519487992.317871,812.0,3275855.3884683093,0.18102409500301708
41,kicken,18122207184714446037S,54,99.08,2742260.87910305,1944.34,182.33227724000002,388789175.6740984,0.12205857193462814,3769450900.7622647,197.0,2553731.2602571296,0.11366708146081168
30,gregorst,17489004316462862977S,2,98.29,3869572.3499578,1984.23,382.20087611,278587048.06655276,0.19976640405838447,4169508757.0581574,985.0,3816439.860486249,0.19702344297625934
83,sio34,7876956936945693367S,10,98.46,3465645.49858262,1942.25,1531.7744650299994,178974484.08965617,0.10151783410299067,2367609629.2248025,568.0,3241466.9418831784,0.09495105699385778
27,goldeneye,7204804685190637646S,16,99.47,3376752.95639181,1940.33,5510.0,1739.860037942515,1420.9383249984244,,3.0,5511.3878696,2.319193126942324
31,guinew,4895669772553333916S,34,98.52,3211085.1137027,2005.34,14944.5,1713.8252026749908,1713.8252026749908,,2.0,13962.99764818,7.45235221957374
35,iloveshift,12137934182339645185S,63,99.78,2527803.35879712,1945.25,1406.0,927.8412794627038,816.2106349518391,525.5691679549462,8.0,3132.51497707,1.0114679330306473
80,shiftspider,13821742652466895801S,6,98.54,3492118.89576701,1929.78,1953.1627011299997,322.7918134474411,3.074447636002935,1457.8341506243594,1254.0,1214665.8884570603,1.069387034280797
8,carsonpool,8665460404587822580S,101,100.0,1675478.06176856,33.0,106.0,305.3088474105097,43.204082180732506,,3.0,17627.52264894,0.45454545454545464
69,samuel_paulsun,1202102259685170158S,12,98.71,3447628.6151331,1937.28,1137.38984751,234.52836942276855,0.2480596782838353,2648.86199821596,1124.0,3337944.6676709694,0.2401678292021421
97,wariner,3968637628733115688S,71,98.68,2416422.18459775,1943.22,1490.0,230.9463624518223,216.99658216949746,,4.0,8022.80034948,0.7204536799744752
43,liskit,14660204684722399807S,28,98.49,3266473.54537951,1944.45,572.02854899,188.7206154350584,1.024227701029366,555.2585251877858,297.0,3108723.86671439,0.9747640857657911
72,seatrips,2675385658327038858S,1,99.15,3992739.12052164,1938.65,1907.2570306700002,168.08739390038048,1.2339497785821218,664.5221518466665,1563.0,3221152.8874342684,0.9954922603882493
100,yondz,1048643971821703875S,32,98.11,3220076.00011404,1933.86,1673.2395242300001,164.33442962755115,64.11979729660362,253.40903167139243,16.0,36155.35721306,0.719943931635651
79,shiftraider,13651129144491004048S,3,98.98,3750300.89926845,1940.98,999.1620160000004,155.08838602368112,0.6208063050559918,803.2866139364313,1119.0,3076268.344117399,0.5092302818807856
52,neuthor,12586116321731091673S,75,100.0,2387975.05943131,376.86,3500.5279386300017,132.8522933057144,0.2420124282776765,853.095310735307,47.0,2143319.11690735,0.21721745459948075
75,shiftcommunitywallet,6335202970982935269S,91,99.01,2176843.80490866,1939.84,3250.0,129.44907225654546,129.44907225654546,,1.0,28173.82265915,1.6753959089409436
33,heisenberg1995,10856301809812467456S,5,98.66,3544388.94461603,1942.9,1610.0,99.44497103988286,99.44497103988286,132.68790753362794,3.0,21499.635776080002,0.6032155868130669
3,bawga,16623466328659000927S,23,100.0,3311775.71800253,1941.45,947.4656666200001,97.29092400969607,0.5130929772205375,690.7321741285202,905.0,3249858.1150099887,0.50350009111744
95,vipertkd,5861930039271542449S,33,98.94,3218544.63013991,1946.8,1802.2437762199993,90.05791915570809,0.20481113272966878,422.429111487113,380.0,2902470.5705540795,0.1846978537140459
44,loomdart,15613397115489492849S,78,99.34,2351700.86712655,1942.53,1350.0,79.95257527367465,79.95257527367465,,1.0,20441.63626155,0.6949699618538709
92,timboslice,14108592501741588895S,86,98.72,2293717.43865249,1940.92,1400.0,71.00737044633848,71.00737044633848,,2.0,23300.05181559,0.7213074212229252
71,scofield,8834964563886874405S,73,99.6,2407679.09477966,2008.84,1600.0,51.59586019837627,51.59586019837627,,2.0,37167.07463515,0.7964795603432825
12,dimm86,8378952946386692746S,26,98.2,3289749.74433473,1939.21,1924.0448479800007,42.960949213871096,0.2099039295732084,263.60755570265985,344.0,2960965.4623367395,0.18892570383061766
65,reinstein,6302791423372690375S,89,99.22,2274696.07625451,1940.82,596.60101555,27.465423431766194,0.31531395034467746,186.34224901719742,442.0,2208397.1260622498,0.3061237186882144
68,saluki,12670108380237338481S,22,97.94,3314681.56095046,1906.67,1068.0,14.571052801788078,14.571052801788078,20.606580490343184,3.0,63711.32015195,0.2800694404380412
40,kiashaan_amz,16555345764431579083S,37,96.22,3102984.3245708,2061.76,9.0,12.621068941428273,12.621068941428273,,1.0,1073.21773891,0.0043652025453981055
22,forumfinancejv,2628113835314385086S,44,96.4,2905070.722117,1828.73,1758.76644163,12.364314588360404,0.09744203853596584,106.91977056322885,220.0,2784475.4936768604,0.09339702689220304
74,shift_tools,4066506280246082834S,56,99.38,2636096.06451614,178.6,1.05,11.25323558706586,11.25323558706586,9.842525509435541,2.0,3478.20740905,0.014848126334084116
14,dotnet70,175001821498162446S,99,99.14,1920741.55301644,1918.03,34.65463198000001,0.017629225245519346,0.01653754785936949,0.0032316470838354206,41.0,1637557.9734046296,0.014099342681029288
67,ryanvdn,2954102530196216984S,94,98.74,2113336.20042377,1939.61,0.0,0.0,0.0,,1.0,,
18,exeric3,3715810936410758099S,60,98.65,2553813.43483762,1947.76,0.0,0.0,0.0,,1.0,,
49,mrgr2,11050252519837691755S,70,99.45,2443116.62349785,1943.09,0.0,0.0,0.0,,1.0,,
1,anamix,4132777636262503477S,68,97.74,2456426.28116085,1993.52,,,,,,,
2,axi,2894235501622418878S,76,98.35,2366096.23269744,1998.13,,,,,,,
4,bikeynab,927849505798557777S,64,97.87,2526918.54246341,1941.92,,,,,,,
5,bioly,16885143243405910776S,77,98.95,2357605.62507751,1944.24,,,,,,,
7,brutale,3332349765545836465S,96,97.57,2090094.18144629,1942.17,,,,,,,
9,cc001,11523444743106892567S,66,98.63,2477184.69832746,1938.1,,,,,,,
10,corsaro,9897084410572604652S,21,98.77,3315674.21323153,1942.65,,,,,,,
11,craig,17153604380219115377S,69,100.0,2447225.75407169,1946.02,,,,,,,
16,ebola,10988796067841284361S,79,92.79,2347674.90263814,1930.7,,,,,,,
17,efebmx,14448249721461697427S,72,98.33,2412981.64421094,1944.48,,,,,,,
19,fanilla,7613349101992284371S,100,98.56,1881059.45607241,1943.6,,,,,,,
20,felix_delegate,17740111341613835228S,98,99.13,1957678.49521735,1941.51,,,,,,,
23,gerb,17836460686258279109S,19,99.35,3326912.31853133,1947.09,,,,,,,
25,giogio,9869767853617701075S,82,97.06,2340661.00703327,1938.83,,,,,,,
26,gmx,5291070292665466497S,50,99.26,2858607.89531762,1946.79,,,,,,,
28,gr33ndrag0n,17688865274499765764S,25,98.76,3301076.3930324,1945.21,,,,,,,
32,hagie,12900751713641607978S,74,98.85,2401740.33960193,1937.81,,,,,,,
37,joelem,12815339957224709902S,61,98.53,2542547.56463764,1941.71,,,,,,,
39,karanslay,3772752090797673389S,57,99.98,2590920.40536409,1943.08,,,,,,,
42,kwell,17473102374113775139S,83,99.43,2320843.97588364,1940.4,,,,,,,
46,mavnezz,1221059418014256130S,52,98.66,2800593.76089473,1974.81,,,,,,,
48,mrgr,14156057994616021440S,14,99.15,3436976.1567544,1940.21,,,,,,,
50,mrwhite,14924303746750699013S,59,97.74,2556477.43589081,1945.49,,,,,,,
51,necromatiz,8385499432433129661S,92,98.99,2163342.81196863,1927.13,,,,,,,
53,nirve,943285078285187201S,65,98.85,2505368.65205552,2001.57,,,,,,,
54,nomoredollar,17571139477294864364S,24,98.81,3301094.05416982,1937.66,,,,,,,
55,nomoredollar2,11169617642535134043S,80,95.97,2345948.85851353,1928.3,,,,,,,
56,nuevax,13994007078162149063S,49,98.76,2870331.31699367,1943.61,,,,,,,
57,nyancat,10467419700136114797S,53,99.64,2779490.19097024,1942.7,,,,,,,
58,nytrobound,4294271027440884090S,43,99.86,2907930.61247218,1944.75,,,,,,,
60,ondin,2970564630072021997S,87,98.8,2285748.25058141,1937.15,,,,,,,
62,popcornbag,14376244240292753568S,95,98.31,2103895.67922531,1940.99,,,,,,,
63,punkrock,15773155524407127430S,88,98.5,2279562.83672603,2003.81,,,,,,,
66,rexy,15411264051019796157S,46,99.79,2893163.70191442,1940.72,,,,,,,
70,samuray,14887190739278429995S,45,97.86,2900406.76629391,1944.9,,,,,,,
73,shift_donations,14828780214380070211S,62,97.59,2541571.32645988,1944.26,,,,,,,
76,shiftcosmos,7008365380549511087S,93,97.64,2132557.36790591,1934.84,,,,,,,
81,shoosh,2738874115153334556S,55,99.98,2669749.21923232,1942.29,,,,,,,
84,sirius,2135167307218581161S,67,99.27,2475383.88950281,1946.75,,,,,,,
85,snatic,1817868533720769718S,81,98.64,2341465.81827027,1944.53,,,,,,,
86,starlord,3903790143144006470S,47,99.81,2887439.672449,1942.41,,,,,,,
90,techbytes,170136392713433140S,84,96.13,2299782.62254049,1612.14,,,,,,,
91,thrice.pi,6668168159687008651S,58,97.02,2568527.85345906,1945.4,,,,,,,
94,vekexasia,16159457535471071047S,36,99.61,3105622.10039401,1918.4,,,,,,,
96,wannabe_rotebaron,243992164644254193S,97,98.94,2058778.59051125,1944.94,,,,,,,
98,win_devnode,10894601799531540343S,51,97.01,2853527.98312008,1943.11,,,,,,,
